,Clase,Barrio,Ubicacion,Descripcion,Precio,Links,fecha_consulta,tipo_prop,operacion,Barrio_vf,localidad,Moneda,precio_efectivo,Precio_vf,Expensas,tdc,precio_en_pesos,ambientes,coords,filtro_coords,Ubicacion_norm,latitud,longitud
0,"Departamento en Venta en Caballito Norte, Caballito","Caballito Norte, Caballito",Beláustegui 1100,Monoambiente con Patio en Venta,USD  45.000+$10.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-norte-1-ambiente--15405725,2024_03_01,Departamento,Venta,Caballito Norte, Caballito,Dólares,precio,45000,10000,1070,48150000,Monoambiente,"(-34.6054508169467, -58.4562145060714)",False,Beláustegui 1100,-34.6054508169467,-58.4562145060714
1,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Anchorena  al 1800,Monoambiente en Venta en Recoleta,USD  72.000+$33.000expensas,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15266775,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,72000,33000,1070,77040000,Monoambiente,"(-34.5898801144043, -58.400885131227)",False,Anchorena 1800,-34.5898801144043,-58.400885131227
2,"Departamento en Venta en Almagro, Capital Federal","Almagro, Capital Federal",AVENIDA CORRIENTES 3800,Departamento Monoambiente en Venta en Almagro con Amenities,USD  99.999,https://www.argenprop.com/departamento-en-venta-en-almagro-1-ambiente--12078572,2024_03_01,Departamento,Venta,Almagro, Capital Federal,Dólares,precio,99999,0,1070,106998930,Monoambiente,"(-34.6034690099089, -58.4180317838483)",False,CORRIENTES 3800,-34.6034690099089,-58.4180317838483
3,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Paraguay  al 2400,Departamento Monoambiente con Balcon a Estrenar en Recoleta,USD  95.000,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--13383464,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,95000,0,1070,101650000,Monoambiente,"(-34.5977677715484, -58.4020883028832)",False,Paraguay 2400,-34.5977677715484,-58.4020883028832
4,"Departamento en Venta en Almagro Sur, Almagro","Almagro Sur, Almagro",Boedo al 200,Monoambiente Gran Categoría C/ Excelentes Amenities (Entrega 2024),USD  48.400,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-1-ambiente--15356934,2024_03_01,Departamento,Venta,Almagro Sur, Almagro,Dólares,precio,48400,0,1070,51788000,Monoambiente,"(-34.6138733772524, -58.4172438974766)",False,Boedo 200,-34.6138733772524,-58.4172438974766
5,"Departamento en Venta en Palermo, Capital Federal","Palermo, Capital Federal",BULNES al 1200,Monoambiente con Balcón Pre Venta en Pozo en Palermo,USD  105.469,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--12406952,2024_03_01,Departamento,Venta,Palermo, Capital Federal,Dólares,precio,105469,0,1070,112851830,Monoambiente,"(-34.5978257052851, -58.4172630316078)",False,BULNES 1200,-34.5978257052851,-58.4172630316078
6,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",AVENIDA CORRIENTES al 4500,Departamento Monoambiente en Venta a Estrenar en Almagro con Amenities Full Oportunidad,USD  89.999,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12492282,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,89999,0,1070,96298930,Monoambiente,"(-34.6024196998066, -58.4285714370977)",False,CORRIENTES 4500,-34.6024196998066,-58.4285714370977
7,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",AVENIDA CORRIENTES al 4500,Departamento Monoambiente en Venta a Estrenar en Almagro con Amenities Full Oportunidad,USD  94.999,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12492272,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,94999,0,1070,101648930,Monoambiente,"(-34.6024196998066, -58.4285714370977)",False,CORRIENTES 4500,-34.6024196998066,-58.4285714370977
8,"Departamento en Venta en San Nicolás, Centro","San Nicolás, Centro",Tucumán 300,Departamento Monoambiente Venta C/ Cochera en San Nicolás,USD  49.000,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--15357339,2024_03_01,Departamento,Venta,San Nicolás, Centro,Dólares,precio,49000,0,1070,52430000,Monoambiente,"(-34.6007407214588, -58.3712690749523)",False,Tucumán 300,-34.6007407214588,-58.3712690749523
9,"Departamento en Venta en Tribunales, Centro","Tribunales, Centro",Viamonte al 1400,Monoambiente Dividido en Venta Apto Airbnb Zona Teatros,USD  59.900+$28.000expensas,https://www.argenprop.com/departamento-en-venta-en-tribunales-1-ambiente--14131509,2024_03_01,Departamento,Venta,Tribunales, Centro,Dólares,precio,59900,28000,1070,64093000,Monoambiente,"(-34.6005804602409, -58.386704795491)",False,Viamonte 1400,-34.6005804602409,-58.386704795491
10,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Varela 200,Excelente Monoambiente C/ Balcon - Flores,USD  59.000+$34.130expensas,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--14414049,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,59000,34130,1070,63130000,Monoambiente,"(-34.6320869331624, -58.4644436916863)",False,Varela 200,-34.6320869331624,-58.4644436916863
11,"Departamento en Venta en San Cristobal, Capital Federal","San Cristobal, Capital Federal","Av. San Juan 2900, Piso 11",1 Ambiente en San Cristóbal,USD  49.500,https://www.argenprop.com/departamento-en-venta-en-san-cristobal-1-ambiente--14430050,2024_03_01,Departamento,Venta,San Cristobal, Capital Federal,Dólares,precio,49500,0,1070,52965000,Monoambiente,"(-34.5533753812727, -58.4712588443683)",False,Juan 2900,-34.5533753812727,-58.4712588443683
12,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",VIEL al 300,Viel al 300  1 Ambiente Divisible con Balcon Departamento en Caballito Venta,USD  78.000+$45.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--15305694,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,78000,45000,1070,83460000,Monoambiente,"(-34.6200463209106, -58.4329854259113)",False,VIEL 300,-34.6200463209106,-58.4329854259113
13,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal","BOYACA 400, Piso 3","Monoambiente con Balcón al Contrafrente, Todo Luz.",USD  70.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--12675067,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,70000,15000,1070,74900000,Monoambiente,"(-34.6224523038183, -58.4596217610232)",False,BOYACA 400,-34.6224523038183,-58.4596217610232
14,"Departamento en Venta en Cid Campeador, Caballito","Cid Campeador, Caballito",Hidalgo al 700 !,Departamento en Venta de 1 Ambiente en Caballito de 26m2,USD  72.100,https://www.argenprop.com/departamento-en-venta-en-cid-campeador-1-ambiente--11366196,2024_03_01,Departamento,Venta,Cid Campeador, Caballito,Dólares,precio,72100,0,1070,77147000,Monoambiente,"(-34.6113527587979, -58.4408454143268)",False,Hidalgo 700,-34.6113527587979,-58.4408454143268
15,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Rojas 1892,Departamento en Venta de 1 Ambiente en Villa Crespo de 32m2 Entrega:2026,USD  58.600,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12691650,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,58600,0,1070,62702000,Monoambiente,"(-34.60088851362836, -58.45302959835741)",False,Rojas 1892,-34.60088851362836,-58.45302959835741
16,"Departamento en Venta en Barrio Norte, Capital Federal","Barrio Norte, Capital Federal",Mansilla al 3000,"1 Ambiente de 34m2, Norman en Barrio Norte.",USD  83.500,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--12829756,2024_03_01,Departamento,Venta,Barrio Norte, Capital Federal,Dólares,precio,83500,0,1070,89345000,Monoambiente,"(-34.5945239170052, -58.4089980191714)",False,Mansilla 3000,-34.5945239170052,-58.4089980191714
17,"Departamento en Venta en Las Cañitas, Palermo","Las Cañitas, Palermo",Av Luis María Campos 659,Departamento en Venta de 1 Ambiente en las Cañitas de 27m2,USD  103.000,https://www.argenprop.com/departamento-en-venta-en-las-canitas-1-ambiente--14943943,2024_03_01,Departamento,Venta,Las Cañitas, Palermo,Dólares,precio,103000,0,1070,110210000,Monoambiente,"(-34.57059774068315, -58.43540086509804)",False,Campos 659,-34.57059774068315,-58.43540086509804
18,"Departamento en Venta en Cid Campeador, Caballito","Cid Campeador, Caballito",Hidalgo al 700,Departamento en Venta de 1 Ambiente de 26m2 en Caballito,USD  69.000,https://www.argenprop.com/departamento-en-venta-en-cid-campeador-1-ambiente--11366197,2024_03_01,Departamento,Venta,Cid Campeador, Caballito,Dólares,precio,69000,0,1070,73830000,Monoambiente,"(-34.6113527587979, -58.4408454143268)",False,Hidalgo 700,-34.6113527587979,-58.4408454143268
19,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Andonaegui al 1200 y Arismendi,Moderno Monoambiente Apaisado al Frente con Balcón - 5° Piso - Vista Abierta | Super Luminoso,USD  70.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--12739021,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,70000,15000,1070,74900000,Monoambiente,"(-34.5883397438411, -58.4786090246712)",False,Andonaegui 1200,-34.5883397438411,-58.4786090246712
20,"Departamento en Venta en Barrio Norte, Capital Federal","Barrio Norte, Capital Federal","Gallo 1000, Piso 5",Monoambiente cerca de Todas las Universidades Dueño Directo,USD  70.000,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--7281906,2024_03_01,Departamento,Venta,Barrio Norte, Capital Federal,Dólares,precio,70000,0,1070,74900000,Monoambiente,"(-34.5980031122963, -58.4119189343463)",False,Gallo 1000,-34.5980031122963,-58.4119189343463
21,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Terrero 54,Departamento al Frente de 1 Ambiente en Construcción Apto Profesional - Terrero 54,USD  56.205,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--14662712,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,56205,0,1070,60139350,Monoambiente,"(-34.62558091699668, -58.45577610775929)",False,Terrero 54,-34.62558091699668,-58.45577610775929
22,"Departamento en Venta en Villa Devoto, Capital Federal","Villa Devoto, Capital Federal",Av Lope De Vega 2900,Monoambientes  a Estrenar  - Apto Blanqueo de Capitales -,USD  69.500,https://www.argenprop.com/departamento-en-venta-en-villa-devoto-1-ambiente--6742662,2024_03_01,Departamento,Venta,Villa Devoto, Capital Federal,Dólares,precio,69500,0,1070,74365000,Monoambiente,"(-34.6155085594802, -58.5231197492243)",False,Vega 2900,-34.6155085594802,-58.5231197492243
23,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Blanco Encalada al 4880,Monoambiente al Frente - Entrega Inmediata - Villa Urquiza - a Pasos del Subte - Apto Profesional,USD  89.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--15360363,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,89000,0,1070,95230000,Monoambiente,"(-34.57448494743374, -58.484591346939766)",False,Encalada 4880,-34.57448494743374,-58.484591346939766
24,"Departamento en Venta en Saavedra, Capital Federal","Saavedra, Capital Federal",Vedia 4700  1 D,Departamento Monoambientes Venta - Saavedra,USD  71.500,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--8971235,2024_03_01,Departamento,Venta,Saavedra, Capital Federal,Dólares,precio,71500,0,1070,76505000,Monoambiente,"(-34.5500665716601, -58.4972163569504)",False,Vedia 4700,-34.5500665716601,-58.4972163569504
25,"Departamento en Venta en Saavedra, Capital Federal","Saavedra, Capital Federal",Deheza al 3100,Venta Departamento 1 Ambiente en Saavedra,USD  83.000+$46.000expensas,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--15336209,2024_03_01,Departamento,Venta,Saavedra, Capital Federal,Dólares,precio,83000,46000,1070,88810000,Monoambiente,"(-34.5437144424205, -58.4805103274444)",False,Deheza 3100,-34.5437144424205,-58.4805103274444
26,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal",Monroe 1759 3º 304,Venta Departamento 1 Ambiente. Contrafrente. Balcón. a Estrenar. Apto Profesional. Belgrano,USD  86.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--13074790,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,86000,0,1070,92020000,Monoambiente,"(-34.554702069310444, -58.4538816515916)",False,Monroe 1759,-34.554702069310444,-58.4538816515916
27,"Departamento en Venta en Villa del Parque, Capital Federal","Villa del Parque, Capital Federal",Argerich 1600,Departamento Venta Monoambiente Balcón. al Frente.,USD  59.500,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--15377030,2024_03_01,Departamento,Venta,Villa del Parque, Capital Federal,Dólares,precio,59500,0,1070,63665000,Monoambiente,"(-34.61611548039, -58.4795135300141)",False,Argerich 1600,-34.61611548039,-58.4795135300141
28,"Departamento en Venta en San Telmo, Capital Federal","San Telmo, Capital Federal",Chile al 900,Departamento 1 Ambiente - San Telmo,USD  90.000+$20.000expensas,https://www.argenprop.com/departamento-en-venta-en-san-telmo-1-ambiente--8410804,2024_03_01,Departamento,Venta,San Telmo, Capital Federal,Dólares,precio,90000,20000,1070,96300000,Monoambiente,"(-34.6163591661696, -58.3788434499755)",False,Chile 900,-34.6163591661696,-58.3788434499755
29,"Departamento en Venta en San Nicolás, Centro","San Nicolás, Centro","Bartolomé Mitre 1200, Piso 8","Impecable Monoambiente en Microcentro, Refaccionado a Nuevo, Totalmente Amoblado",USD  48.400+$28.000expensas,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--15338093,2024_03_01,Departamento,Venta,San Nicolás, Centro,Dólares,precio,48400,28000,1070,51788000,Monoambiente,"(-34.634400800926, -58.4395222132843)",False,Mitre 1200,-34.634400800926,-58.4395222132843
30,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",Neuquén 800,Venta Monoambiente en Pozo - 30% Off - Cuotas,USD  74.000,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--15208179,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,74000,0,1070,79180000,Monoambiente,"(-34.6159298185, -58.4433575796803)",False,Neuquén 800,-34.6159298185,-58.4433575796803
31,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",San José de Calasanz 227 1ºC,Excelente Departamento a Estrenar en Caballito - 1 Ambiente - Entrega Inmediata,USD  92.000+$19.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--11506811,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,92000,19000,1070,98440000,Monoambiente,"(-34.621851534245316, -58.43817403843839)",False,Calasanz 227,-34.621851534245316,-58.43817403843839
32,"Departamento en Venta en Balvanera, Capital Federal","Balvanera, Capital Federal","Av callao 200, Piso 4",Monoambiente Apto Profesional en Av Callao,USD  62.000+$30.000expensas,https://www.argenprop.com/departamento-en-venta-en-balvanera-1-ambiente--14767415,2024_03_01,Departamento,Venta,Balvanera, Capital Federal,Dólares,precio,62000,30000,1070,66340000,Monoambiente,"(-34.6067887165951, -58.3921122674871)",False,callao 200,-34.6067887165951,-58.3921122674871
33,"Departamento en Venta en Villa del Parque, Capital Federal","Villa del Parque, Capital Federal","Avenida Nazca 2800, Piso 2",Monoambiente en Venta en Villa del Parque a Estrenar,USD  85.000+$25.000expensas,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--15359538,2024_03_01,Departamento,Venta,Villa del Parque, Capital Federal,Dólares,precio,85000,25000,1070,90950000,Monoambiente,"(-34.6034944581426, -58.4881720934593)",False,Nazca 2800,-34.6034944581426,-58.4881720934593
34,"Departamento en Venta en Colegiales, Capital Federal","Colegiales, Capital Federal",Andonaegui al 1200 y Arismendi,Moderno Monoambiente Apaisado al Frente con Balcón - 5° Piso - Vista Abierta | Super Luminoso,USD  70.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-colegiales-1-ambiente--12899603,2024_03_01,Departamento,Venta,Colegiales, Capital Federal,Dólares,precio,70000,15000,1070,74900000,Monoambiente,"(-34.5883397438411, -58.4786090246712)",False,Andonaegui 1200,-34.5883397438411,-58.4786090246712
35,"Departamento en Venta en Boedo, Capital Federal","Boedo, Capital Federal","Av M Boedo 400, Piso 3",Boedo al 400 Monoambiente Piso 3 con Seguridad,USD  48.000+$12.000expensas,https://www.argenprop.com/departamento-en-venta-en-boedo-1-ambiente--14888690,2024_03_01,Departamento,Venta,Boedo, Capital Federal,Dólares,precio,48000,12000,1070,51360000,Monoambiente,"(-34.617344684937, -58.4168519385648)",False,Boedo 400,-34.617344684937,-58.4168519385648
36,"Departamento en Venta en San Cristobal, Capital Federal","San Cristobal, Capital Federal",Carlos Calvo 1500,Monoambiente con Balcon Parrilla Luminoso Segurida,USD  63.000+$78.600expensas,https://www.argenprop.com/departamento-en-venta-en-san-cristobal-1-ambiente--15379193,2024_03_01,Departamento,Venta,San Cristobal, Capital Federal,Dólares,precio,63000,78600,1070,67410000,Monoambiente,"(-34.6199569998168, -58.3873197468048)",False,Calvo 1500,-34.6199569998168,-58.3873197468048
37,"Departamento en Venta en Barrio Norte, Capital Federal","Barrio Norte, Capital Federal","Arenales 1200, Piso 6",Monoambiente al Frente con Balcon en Barrio Norte Recoleta Muy Luminoso,USD  70.000+$41.000expensas,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--15251214,2024_03_01,Departamento,Venta,Barrio Norte, Capital Federal,Dólares,precio,70000,41000,1070,74900000,Monoambiente,"(-34.5944320269519, -58.3844137354286)",False,Arenales 1200,-34.5944320269519,-58.3844137354286
38,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Ceretti 3100,Excelente Monoambiente a Estrenar! Villa Urquiza,USD  84.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--12083237,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,84000,0,1070,89880000,Monoambiente,"(-34.5723775857084, -58.4977359894083)",False,Ceretti 3100,-34.5723775857084,-58.4977359894083
39,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Av De Los Incas 4300,Monoambiente en L con Patio,USD  69.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--11632903,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,69000,0,1070,73830000,Monoambiente,"(-34.580052629833, -58.472133575008)",False,Incas 4300,-34.580052629833,-58.472133575008
40,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",Bogotá 1600,Caballito Monoambiente Venta,USD  76.000,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--14849811,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,76000,0,1070,81320000,Monoambiente,"(-34.6216001325369, -58.4534427805156)",False,Bogotá 1600,-34.6216001325369,-58.4534427805156
41,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Manuela Pedraza al 3400,Venta Departamento 1 Ambiente a Estrenar  - Coghlan,USD  59.000,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--14708784,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,59000,0,1070,63130000,Monoambiente,"(-34.5563649824099, -58.4749803290497)",False,Pedraza 3400,-34.5563649824099,-58.4749803290497
42,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Melian al 3400,Departamento a Estrenar 1 Ambiente Balcón Frente Lavadero - Coghlan,USD  72.000+$29.000expensas,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--13029010,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,72000,29000,1070,77040000,Monoambiente,"(-34.5572231699332, -58.4782369776818)",False,Melian 3400,-34.5572231699332,-58.4782369776818
43,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Manuela Pedraza al 3400,Venta Departamento 1 Ambiente a Estrenar C/balcon al Fte - Coghlan,USD  91.000,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--14822770,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,91000,0,1070,97370000,Monoambiente,"(-34.5563649824099, -58.4749803290497)",False,Pedraza 3400,-34.5563649824099,-58.4749803290497
44,"Departamento en Venta en Almagro, Capital Federal","Almagro, Capital Federal","Av M Boedo 400, Piso 1",Av Boedo 400 Monoambiente con Cocina Ind y Amplia Terraza,USD  53.000+$10.000expensas,https://www.argenprop.com/departamento-en-venta-en-almagro-1-ambiente--14536842,2024_03_01,Departamento,Venta,Almagro, Capital Federal,Dólares,precio,53000,10000,1070,56710000,Monoambiente,"(-34.617344684937, -58.4168519385648)",False,Boedo 400,-34.617344684937,-58.4168519385648
46,"Departamento en Venta en Villa Pueyrredon, Capital Federal","Villa Pueyrredon, Capital Federal","Zamudio al 4500 , Piso 4",Departamento Monoambiente con Balcon,USD  77.000,https://www.argenprop.com/departamento-en-venta-en-villa-pueyrredon-1-ambiente--14758331,2024_03_01,Departamento,Venta,Villa Pueyrredon, Capital Federal,Dólares,precio,77000,0,1070,82390000,Monoambiente,"(-34.5843166695856, -58.495128021545)",False,Zamudio 4500,-34.5843166695856,-58.495128021545
47,"Departamento en Venta en Balvanera, Capital Federal","Balvanera, Capital Federal",Alberti al 300,Alberti 300. Monoambiente en Venta a Estrenar. con Balcón y Amenities. Balvanera,USD  71.400,https://www.argenprop.com/departamento-en-venta-en-balvanera-1-ambiente--12775642,2024_03_01,Departamento,Venta,Balvanera, Capital Federal,Dólares,precio,71400,0,1070,76398000,Monoambiente,"(-34.6132667299191, -58.401447547387)",False,Alberti 300,-34.6132667299191,-58.401447547387
48,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Remedios de escalada de san martin al 700,Remedios Escalada de San Martin al 700 Monoambiente a Estrenar al Frente con Balcón,USD  78.000,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--14535473,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,78000,0,1070,83460000,Monoambiente,"(-34.6458831023607, -58.5174377382997)",False,martin 700,-34.6458831023607,-58.5174377382997
49,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Av Congreso al 4700,Departamento Monoambiente Dividido en Venta con Balcón y Cochera en Villa Urquiza,USD  79.900+$28.700expensas,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--12481787,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,79900,28700,1070,85493000,Monoambiente,"(-34.5673610933244, -58.4856552974081)",False,Congreso 4700,-34.5673610933244,-58.4856552974081
50,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal",Conesa 2652,Departamento en Venta en Belgrano de 1 Ambiente Divisible 46m2,USD  91.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--12644805,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,91000,0,1070,97370000,Monoambiente,"(-34.560408515926596, -58.466520987275274)",False,Conesa 2652,-34.560408515926596,-58.466520987275274
51,"Departamento en Venta en Palermo, Capital Federal","Palermo, Capital Federal","Angel Carranza 2000, Piso 1",Excelente Monoambiente -Venta con Renta Hasta Noviembre 2024,USD  105.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--9840855,2024_03_01,Departamento,Venta,Palermo, Capital Federal,Dólares,precio,105000,15000,1070,112350000,Monoambiente,"(-34.5800769423766, -58.4355299084516)",False,Carranza 2000,-34.5800769423766,-58.4355299084516
52,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",José A. Cabrera 3400,Dpto Monoambiente a Estrenar en Venta - Palermo,USD  84.900,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15268168,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,84900,0,1070,90843000,Monoambiente,"(-34.5967708398214, -58.4142349754715)",False,Cabrera 3400,-34.5967708398214,-58.4142349754715
53,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",Av. Gaona 1369 Piso 8° Dto. C,Monoambiente Divisible Xxl con Placard Contra Frente Balcon Super Luminoso,USD  89.000+$25.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--11632124,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,89000,25000,1070,95230000,Monoambiente,"(-34.60866961551954, -58.448565629566026)",False,Gaona 1369,-34.60866961551954,-58.448565629566026
54,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal","Martinez Castro 200, Piso 1",Monoambiente C/ Balcon Aterrazado,USD  61.500,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--8332957,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,61500,0,1070,65805000,Monoambiente,"(-34.636634108911, -58.4808892229814)",False,Castro 200,-34.636634108911,-58.4808892229814
55,"Departamento en Venta en Paternal, Capital Federal","Paternal, Capital Federal",Cucha Cucha 1805,Venta · Villa Crespo · Departamento  · Monoambiente  · a Estrenar · Bajas Expensas,USD  76.000+$15.600expensas,https://www.argenprop.com/departamento-en-venta-en-paternal-1-ambiente--15386302,2024_03_01,Departamento,Venta,Paternal, Capital Federal,Dólares,precio,76000,15600,1070,81320000,Monoambiente,"(-34.60277447445118, -58.45599658281792)",False,Cucha 1805,-34.60277447445118,-58.45599658281792
56,"Departamento en Venta en Chacarita, Capital Federal","Chacarita, Capital Federal",Av Cordoba  al 5700 entre Carranza y Bonpland,Departamento Monoambiente Venta - en  Chacarita,USD  85.000+$36.000expensas,https://www.argenprop.com/departamento-en-venta-en-chacarita-1-ambiente--15400663,2024_03_01,Departamento,Venta,Chacarita, Capital Federal,Dólares,precio,85000,36000,1070,90950000,Monoambiente,"(-34.5867803410132, -58.4413976054961)",False,Cordoba 5700,-34.5867803410132,-58.4413976054961
57,"Departamento en Venta en Paternal, Capital Federal","Paternal, Capital Federal",Juan B Justo al 3700,Venta · Villa Crespo · Departamento  · Monoambiente ·  Posesión Inmediata,USD  67.500+$13.000expensas,https://www.argenprop.com/departamento-en-venta-en-paternal-1-ambiente--15386310,2024_03_01,Departamento,Venta,Paternal, Capital Federal,Dólares,precio,67500,13000,1070,72225000,Monoambiente,"(-34.6027908494817, -58.4559787895777)",False,Justo 3700,-34.6027908494817,-58.4559787895777
59,"Departamento en Venta en Saavedra, Capital Federal","Saavedra, Capital Federal",Paroissien 2640 | Monoambiente | Venta | Saavedra.,Departamento - Saavedra - Monoambiente 1º5,USD  88.897,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--10913594,2024_03_01,Departamento,Venta,Saavedra, Capital Federal,Dólares,precio,88897,0,1070,95119790,Monoambiente,"(-34.54762765259455, -58.47208579799306)",False,Paroissien 2640,-34.54762765259455,-58.47208579799306
